Trait,Exemplary (100%),Proficient (93%),Developing (86%),Limited (79%)
Developing High Performing Teams,"The author clearly demonstrates a strong understanding of how to lead a team through the forming, storming, norming, and performing stages. They describe the concept in detail and write in a manner that the reader can visualize how they attempted to progress through Tuckman’s model and includes what they did well and what they could have done more effectively.","The author shows a good understanding of how to lead a team through the forming, storming, norming, and performing stages. They describe the concept with a good level of detail. They try and communicate how they attempted to progress through Tuckman’s model and some of this communication is clear and detailed but not all of it is clear and detailed.",The author shows a moderate level of understanding of the concept of how to lead their team through Tuckman’s model.,The author does make any meaningful attempt to demonstrate their understanding of how to lead their team through Tuckman’s model.
Developing Optimal Task Conflict & Minimizing Relationship Conflict,The author clearly demonstrates a strong understanding of how to create positive and constructive conflict around getting to the best team solution and preventing negative or relationship conflict. They describe the concept in detail and write in a manner that the reader can visualize how they attempted to maximize task conflict and mitigate relationship conflict and includes what they did well and what they could have done more effectively.,The author shows a good understanding of how to create positive and constructive conflict around getting to the best team solution and preventing negative or relationship conflict. They try and communicate how they attempted to demonstrate task and relationship conflict and some of this communication is clear and detailed but not all of it is clear and detailed.,The author makes a moderate attempt to demonstrate their understanding of the concepts of developing optimal task conflict & minimizing relationship conflict with their team members.,The author does make any meaningful attempt to demonstrate their understanding of the concepts of developing optimal task conflict & minimizing relationship conflict with their team members.
Dynamics,"Excellent ability to comprehensively identify and understand all dynamics of negotiation including any power dynamics, organizational constraints and cultural implications.","Strong ability to identify and understand all dynamics of negotiation including any power dynamics, organizational constraints and cultural implications.","Satisfactory ability to identify and understand some dynamics of negotiation including any power dynamics, organizational constraints and cultural implications.","Limited ability to identify and understand dynamics of negotiation including any power dynamics, organizational constraints and cultural implications."
Emotional & Interpersonal Intelligence,"The author clearly demonstrates a strong understanding of their self-awareness, self-regulation, self-motivation, and their ability to work collaboratively with others. They describe the concept in detail and write in a manner that the reader can visualize how they attempted to use emotional and interpersonal intelligence and includes what they did well and what they could have done more effectively.","The author shows a good understanding of their self-awareness, self-regulation, self-motivation, and their ability to work collaboratively with others. They describe the concept with a moderate level of detail. They try and communicate how they attempted to demonstrate emotional and interpersonal intelligence and some of this communication is clear and detailed but not all of it is clear and detailed.",The author shows a moderate level of understanding of the concepts of emotional and interpersonal intelligence and does not clearly communicate how they worked to demonstrate this with their team.,The author does make any meaningful attempt to demonstrate their understanding of the concepts of emotional and interpersonal intelligence with their team members.
"Enabling Innovation, Creativity & Change","The author shows a strong, clear and detailed understanding of how to enable innovation, creativity, and change within their team by searching for opportunities by seizing the initiative and exercising outsight and experimenting and taking risks by generating small wins and learning from experience. It also includes what they did well and what they could have done more effectively.","The author shows a good understanding of how to enable innovation, creativity, and change within their team by searching for opportunities by seizing the initiative and exercising outsight and experimenting and taking risks by generating small wins and learning from experience. They try and communicate how they attempted to do this and some of this communication is clear and detailed but not all of it is clear and detailed.","The author makes a moderate attempt to demonstrate their understanding of how to enable innovation, creativity, and change within their team.","The author does make any meaningful attempt to demonstrate their understanding of how to enable innovation, creativity, and change within their team."
"Energy, Posture, & Gestures (Body Language)","High energy, strong stance, good posture. Natural gestures throughout presentation.","Moderate energy, minimal posture issues. Gestures are generally appropriate and natural.","Low energy, some poor posture issues. Gestures are limited, but not distracting.","Very low energy, poor posture. Gestures limited, unnatural and/or distracting."
Enviornment & Stakeholder Analysis,"Comprehensively identifies and understands all or most of the relevant global factors (Economic, Cultural, Legal, and Political) and the corresponding stakeholders. Comprehensive comparison of global and domestic factors. Few or no omissions.","Precisely identifies and understands a majority of the relevant global factors (Economic, Cultural, Legal, and Political) and the corresponding stakeholders. Precise comparison of global and domestic factors. Omission of factors does not impact reliability of analysis.","Clearly identifies some relevant global factors (Economic, Cultural, Legal, and Political) and the corresponding stakeholders. Some comparison of global and domestic factors. Omission of factors may impact reliability of analysis.","Limited ability to correctly or completely identify relevant global factors (Economic, Cultural, Legal, and Political) and the corresponding stakeholders. Little or no comparison of global and domestic factors."
Ethical Dilemma,"Demonstrates strong ability to identify ethical dilemmas based on core beliefs and knowledge of ethical frameworks. Recognizes the complexities, nuance and interrelationships associated with dilemmas.",Demonstrates good ability to identify ethical dilemmas based on core beliefs and knowledge of ethical frameworks. Recognizes most of the complexities and interrelationships associated with dilemmas.,Demonstrates some ability to identify ethical dilemmas based on core beliefs and knowledge of ethical frameworks. Recognizes some of the complexity and interrelationships associated with dilemmas.,"Demonstrates limited or no ability to identify ethical dilemmas based on core beliefs and knowledge of ethical frameworks. Sees dilemmas as black and white, failing to grasp complexity and interrelationships."
Ethical Reasoning,Demonstrates strong ability to identify numerous alternative courses of action and assert a nuanced position firmly supported by multiple points of evidence. Corrective action accounts for all differing perspectives and focuses beyond just legal compliance to enact a lasting resolution consistent with core beliefs.,Demonstrates ability to identify several alternative courses of action and assert a position supported by multiple points of relevant evidence. Any corrective action accounts for most differing perspectives and focuses beyond just legal compliance to resolve dilemma.,Demonstrates ability to identify some alternative courses of action and assert a position supported somewhat by evidence. Any corrective action accounts for a few different perspectives and focuses slightly beyond just legal compliance to resolve dilemma.,Demonstrates limited or no ability to identify alternative courses of action and assert a position supported by evidence. Any corrective action does not account for different perspectives and merely focuses on legal compliance.
Ethical Self-Awareness,Demonstrates strong ability to identify/articulate core beliefs. Displays strong understanding that core beliefs serve as an “anchor” for ethical decision making when situated within a greater context. (society),Demonstrates good ability to identify/articulate core beliefs and to situate them within a greater context (society). Displays some understanding that core beliefs serve as an “anchor” for ethical decision making.,Demonstrates ability to identify/articulate core beliefs but struggles to situate them within a greater context. (society),Demonstrates limited or no ability to identify/articulate core beliefs and situate them within a greater context. (society)
Grammar/Mechanics,Generally free or almost free of any grammatical/mechanical errors.,"Occasional grammatical/mechanical errors, but do not distract reader or obscure meaning.",Number of grammatical/mechanical errors distract reader and somewhat obscure meaning.,Numerous grammatical/mechanical errors that obscure meaning.
Idea Creation,"Strong ability to synthesize and manipulate learned content, theories, tools and gathered information to create knew ideas/knowledge. Consistently applies the appropriate theories/tools in analysis.","Good ability to synthesize learned content, theories, tools and gathered information to create knew ideas/knowledge. Generally applies the appropriate theories/tools in analysis.","Some ability to synthesize learned content, theories, tools and gathered information to create knew ideas/knowledge. May apply some incorrect theories/tools in analysis.","Limited ability to synthesize learned content, theories, tools and gathered information to create knew ideas/knowledge."
Identification,Comprehensively and clearly identifies and describes the problem/opportunity including all key components/variables and relevant information. Displays full understanding of issue.,Correctly and precisely identifies and describes the problem/opportunity including the majority - but not all - of its key components/variables. . A,Correctly identifies problem/opportunity but certain key components/variables remain unclear or omitted.,Limited ability to clearly identify the problem/opportunity and its various components/variables.
Identification of Scope,"Comprehensively identifies and sets the scope of project/plan recognizing most of the achievable goals, key needs and stakeholders. Displays full understanding of opportunity/issue through drawing systematic connections to plan.","Precisely identifies and sets the scope of project/plan recognizing a majority of the achievable goals, key needs and stakeholders Effectiveness is not impeded by the omission of some variables. Plan displays strong connection to opportunity/issue.","Clearly identifies and sets the scope of project/plan but fails to recognize a majority of the achievable goals, key needs and stakeholders which may limit effectiveness. Plan displays some connection to opportunity/issue.","Limited ability to clearly identify and set scope of project/plan including recognition of the achievable goals, key needs and stakeholders. Plan displays limited connection to opportunity/issue."
Identifying Opportunities,Comprehensively integrates all analyses to effectively identify and generate unique and viable opportunities (2-3) in a dynamic environment with a clear identification of value to the organization.,Integrates all analyses to effectively identify and generate viable opportunities (2-3) in a dynamic environment with a clear identification of value to the organization.,Integrates all analyses to effectively identify and generate some viable opportunities (1-2) in a dynamic environment.,Limited ability to integrate all analyses to effectively identify and generate viable business opportunities in a dynamic environment.
Identifying Risks and Opportunities,Comprehensively integrates all analyses to effectively identify viable opportunities in a dynamic environment with a clear identification of value to the organization.,Integrates all analyses to effectively identify viable risks and opportunities in a dynamic environment with a clear identification of value to the organization.,Integrates all analyses to effectively identify some viable risks and opportunities in a dynamic environment.,Limited ability to integrate all analyses to effectively identify viable business risks and opportunities in a dynamic environment.
Implications & Consequences,Anticipates/identifies most of the current as well as future implications and consequences of the recommendations/decisions as they relate to business resiliency. Little or no omissions in the identification of implications and consequences.,Identifies a majority of current implications and consequences of the recommendations/decisions and displays good ability to anticipate a majority of the future implications accurately as they relate to business resiliency. Omissions have minimal impact on the success of recommendations/decisions.,Identifies some current implications and consequences of recommendations/decisions and displays ability to anticipate/identify some future implications accurately. Omissions may impact success of recommendations/decisions.,Overlooks current implications and consequences of recommendations/decisions and/or displays limited ability to anticipate/identify future implications accurately.
Individualized Consideration,"The author clearly demonstrates a strong understanding of how to learn about each of their follower’s individually to include strengths, weaknesses, goals, dreams and how to remove barriers, provide coaching, and set up for success. They describe the concept in detail and write in a manner that the reader can visualize how they attempted to build individualized consideration and includes what they did well and what they could have done more effectively.","The author shows a good understanding of how to learn about each of their follower’s individually to include strengths, weaknesses, goals, dreams and how to remove barriers, provide coaching, and set up for success. They describe the concept with a good level of detail. They try and communicate how they attempted to build individualized consideration and some of this communication is clear and detailed but not all of it is clear and detailed.",The author shows a moderate level of understanding of the concept of individualized consideration and does not clearly communicate how they worked to build this with their team members.,The author does make any meaningful attempt to demonstrate their understanding of how to build individualized consideration with their team members.
Industry & Competition Analysis,"Comprehensively identifies and understands all or most of the relevant competitors and key industry factors such as opportunities, threats and barriers to entry. Few or no omissions.","Precisely identifies and understands a majority of the relevant competitors and key industry factors such as opportunities, threats and barriers to entry. Omission of factors does not impact reliability of analysis.","Clearly identifies some relevant competitors and key industry factors such as opportunities, threats and barriers to entry. Omission of factors may impact reliability of analysis.","Limited ability to correctly or completely identify relevant competitors and key industry factors such as opportunities, threats and barriers to entry."
Information Gathering,"Gathers and relies upon correct, sufficient and credible information/evidence. Displays strong ability to analyze, categorize, and classify information, as well as synthesize and integrate that information across categories/classifications.","Gathers and relies upon correct, sufficient and reliable information/evidence. Displays good ability to analyze, categorize and classify information.",Gathers and relies upon some correct and reliable information/evidence that is moderately sufficient. Displays some ability to analyze information and classify it appropriately.,"Gathers and relies upon incorrect, insufficient or unreliable information/evidence. Displays limited ability to analyze, categorize and classify information."
Inquiry Design Process,Appropriate methodologies and theoretical frameworks are selected and comprehensively applied with each of their elements skillfully developed with no mistakes. Correctly synthesizes all relevant information and converts into quantitative terms with no mistakes,The appropriate methodologies and theoretical frameworks are selected and applied with each of their elements clearly developed and focused with only minor or subtle mistakes. Synthesizes relevant information and converts into quantitative terms with minor mistakes,"Elements of the appropriately selected and applied methodologies and theoretical frameworks are missing, underdeveloped or unfocused. Synthesizes relevant information and converts into quantitative terms with some mistakes",Approach to addressing problem/opportunity demonstrates misunderstanding or limited ability to select and apply appropriate methodologies or theoretical frameworks. Incorrectly synthesizes relevant information and converts into quantitative terms.
Interests,"Excellent ability to comprehensively identify all of the other party’s, your own and common interests in the negotiation process.","Strong ability to identify most of the other party’s, your own and common interests in the negotiation process.","Satisfactory ability to identify some of the other party’s, your own and common interests in the negotiation process.","Limited ability to identify your own, the other party’s and common interests in the negotiation process."
Issue/Problem Identification,Comprehensively and clearly identifies and describes the issue/opportunity including all key components/variables and relevant information. Displays full understanding of issue.,Precisely identifies and describes the issue/opportunity including the majority of its key components/variables. Understanding of issue is not impeded by the omission of undefined variables.,Correctly identifies issue/opportunity but certain key components/variables remain unclear or omitted.,Limited ability to clearly identify the issue/opportunity and its various components/variables.
Language,"Uses language (word choice, vocabulary) that skillfully and clearly conveys meaning with no errors. Jargon used strategically and appropriately.","Uses language (word choice, vocabulary) that effectively conveys meaning with few errors. Jargon used appropriately.","Uses language (word choice, vocabulary) that generally conveys meaning with some errors. Jargon used somewhat appropriately.","Uses language (word choice, vocabulary) that does not appropriately convey meaning. Jargon not used appropriately or over used."
Language - Verbal and Nonverbal Communication,"Articulates a complex understanding of cultural differences in verbal and nonverbal communication (e.g., demonstrates understanding of the degree to which people use physical contact while communicating in different cultures or use direct/indirect and explicit/implicit meanings) and is able to skillfully negotiate a shared understanding based on those differences.",Recognizes and participates in cultural differences in verbal and nonverbal communication and begins to negotiate a shared understanding based on those differences.,Identifies some cultural differences in verbal and nonverbal communication and is aware that misunderstandings can occur based on those differences but is still unable to negotiate a shared understanding.,Has a minimal level of understanding of cultural differences in verbal and nonverbal communication; is unable to negotiate a shared understanding.
Listening,Other people clearly benefit from confiding in this person. They show a strong interest in others through listening. They often restate key points of what they have heard. They using confirming gestures that demonstrate they are actively listening.,Often demonstrates active listening skills. At certain important times misses key opportunities to actively listen. Certain people benefit from confiding in this person and others do not.,"Occasionally certain people confide in this person, but many do not see the value. When not under stress and pressure can demonstrate active listening skills, but general struggles in this area.",Other people do not confide in this person. They find it difficult to listen to people when they have issues or are complaining.
Managing Plan Performance,Displays strong ability to develop comprehensive/effective process management structures and to thoroughly review and manage progress. Utilizes progress data and feedback to make all possible improvements based on analysis.,Displays good ability to develop effective process management structures and to consistently review and manage progress. Utilizes progress data and feedback to make most of the possible improvements based on analysis.,Displays moderate ability to develop effective process management structures and to consistently review and manage progress. Utilizes progress data and feedback to make some possible improvements with key omissions.,Limited ability to develop effective process management structures and to consistently review and manage progress. Fails to effectively utilize progress data and feedback to make possible changes to improve performance.
"Memorable, Compelling Narratives (Business Storytelling)","Consistently uses appropriate emotion to influence attitudes, beliefs Immediately grabs audience attention, and presents information in a memorable fashion.",Generally uses appropriate emotion to influence attitudes and beliefs. Eventually draws audience in. and presents mostly memorable information.,Uses limited emotion to influence attitudes and beliefs. Does not immediately grab audience attention. Information presented has some memorability.,Does not use appropriate emotion to influence attitudes and beliefs. Struggles to grab audience attention throughout. Recites information that is not very memorable.
Monitoring Progess,"Utilizes appropriate tools and feedback mechanisms to track progress of implementation with no mistakes in calculations, which may impact evaluation.","Utilizes appropriate tools and feedback mechanisms to track progress of implementation with minimal mistakes in calculations, which may impact evaluation.","Utilizes appropriate tools and feedback mechanisms to track progress of implementation with some mistakes in calculations, which may impact evaluation.",Limited ability to effectively utilize appropriate tools and feedback mechanisms to track progress of implementation.
Motivation and Use,Places significant energy towards understanding how they are perceived and taking action to be aware and regulate their comments and actions. They often seek feedback about how they are perceived and if they are responding positively.,"Makes a good and consistent effort to take action to show awareness and regulation. Is bought into the importance, but on occasion fails to execute in this area.",Shows a low level of effort to take action to show awareness and regulation. Does not seem fully bought into the importance in this area and/or is currently lacking in capability in this area.,Does not appear to be interested or care about how their comments and actions are perceived. Does not take action to show awareness and regulation.
Openness/Cultural Social Intelligence,Initiates and develops interactions with culturally different others. Suspends judgment in valuing her/his interactions with culturally different others.,Begins to initiate and develop interactions with culturally different others. Begins to suspend judgment in valuing her/his interactions with culturally different others.,"Expresses openness to most, if not all, interactions with culturally different others. Has difficulty suspending any judgment in her/his interactions with culturally different others, and is aware of own judgment and expresses a willingness to change.","Receptive to interacting with culturally different others. Has difficulty suspending any judgment in her/his interactions with culturally different others, but is unaware of own judgment."
Organization,"Presents an organized and influential message supported by very clearly identified main points. Paragraphs coherent, well sequenced and transitions display progression of thoughts/ideas.","Presents an organized, logical and effective message. Main points clearly identified. Paragraphs coherent with effective transitions.","Lacks a consistently organized, logical and effective message. Main points somewhat clear. Paragraphs reasonably coherent with some effective transitions.","Does not present an organized, logical, and effective message. Main points unclear/unfocused. Paragraphs are not coherent with ineffective transitions."
Organizational Analysis,"Displays a comprehensive understanding of an organization’s structure, culture and available resources as well as its key advantages and distinctive attributes. Provides insightful analysis supported by data.","Precisely identifies and displays an understanding of an organization’s structure, culture and available resources, as well as its key advantages. Provides original analysis with some supporting data.","Clearly identifies an organization’s structure, culture and available resources. Moves beyond reporting of facts to offer some additional analysis.","Limited ability to identify and analyze an organization’s structure, culture and available resources. Mostly reports facts with little or no analysis."
Originality of Ideas,"Strong ability to synthesize and manipulate learned content, theories, tools and gathered information to create new, original and insightful ideas. Displays a keen awareness of similar existing ideas/solutions with no reformulation.","Good ability to synthesize learned content, theories, tools and gathered information to create new, original and insightful ideas. No reformulation of existing ideas.","Some ability to synthesize learned content, theories, tools and gathered information to create new, original and insightful ideas. Displays only some reformulation of existing ideas.","Limited ability to synthesize learned content, theories, tools and gathered information to create new, original and insightful ideas. Overly dependent on a reformulation of existing ideas/solutions."
Outcome,"Excellent ability to construct a comprehensive and suitable outcome based on party interests/motivation, known alternatives, and information/fact pattern throughout the negotiation.","Strong ability to construct a suitable outcome based on party interests/motivation, known alternatives, and information/fact pattern throughout the negotiation.","Satisfactory ability to construct a suitable outcome based on party interests/motivation, known alternatives, and information/fact pattern throughout the negotiation.","Limited ability to construct a suitable outcome based on party interests/motivation, known alternatives, and information/fact pattern throughout the negotiation."
Overall Satisfaction with Progress,Very satisfied with progress of project thus far.,Satisfied with progress of project thus far.,Somewhat satisfied with progress of project thus far.,Not satisfied with progress of project thus far.
Planning,Excellent ability to construct a comprehensive and thoughtful negotiation strategy. Identifies all of the pertinent facts and issues involved in the case.,Strong ability to construct a thoughtful negotiation strategy. Identifies most of the pertinent facts and issues involved in the case.,Satisfactory ability to construct a thoughtful negotiation strategy. Identifies some of the pertinent facts and issues involved in the case.,Limited ability to construct a thoughtful negotiation strategy. Does not identify the pertinent facts and issues involved in the case.
Planning Design Process,"Comprehensively identifies most of the available resources needed, as well as discovers new ones to effectively implement the plan. Utilizes correct/effective methodologies in design of plan. Steps to reach goals and timelines are clearly identified/articulated with no omissions and or deficiencies.",Precisely identifies a majority of the available resources needed to effectively implement the plan. Utilizes correct/effective methodologies in design of plan. Steps to reach goals and timelines are clearly identified/articulated with minimal omissions and or deficiencies.,Clearly identifies basic resources needed to effectively implement the plan. Overall effectiveness of the plan may be impeded by methodology utilized in design. Steps to reach goals and timelines are clearly identified/articulated with some omissions and or deficiencies.,Limited ability to identify basic resources needed in order to effectively implement the plan. Utilizes incorrect/ineffective methodologies in design of plan. Steps to reach goals and timelines not clearly identified/articulated.
Resource Alignment,Comprehensively identifies and aligns most available resources with critical plan and/or organizational needs.,Precisely identifies and aligns a majority of available resources with critical plan and/or organizational needs.,"Clearly identifies and aligns basic resources (financial/human capital, time, etc..) with critical plan and/or organizational needs.","Limited ability to effectively identify and align basic resources (financial/human capital, time, etc..) with critical plan and/or organizational needs."
Resources,Have identified and collected all of the resources needed to complete the final project.,"Have identified most of the resources needed to complete the final project. Some, if not most of the resources have been collected.",Have identified some of the resources needed to complete the final project. Work has begun on gathering the necessary resources.,Have yet to identify the resources needed to complete the final project.
Risk Mapping,Provides strong and sufficient evidence for risk mapping methodology.,Provides reasonable and justified evidence for risk mapping methodology.,Provides some evidence for risk mapping methodology.,Does not provide evidence of an appropriate methodology for mapping risks.
